Policy;History;Compliant;STS count;Time 1(ms);Time 2(ms);Time 3(ms);Time 4(ms);Time 5(ms);Time 6(ms);Time 7(ms);Time 8(ms);Time 9(ms);Time 10(ms)
Contr-pol-noncompl-exc-74;hist-100-20-8;false;365;6.908042;2.826167;2.066;1.861875;2.053;1.452708;1.328125;2.190791;1.8625;1.245583
Contr-pol-noncompl-exc-74;hist-100-20-4;false;312;1.25375;1.037667;1.016417;0.957458;1.126125;1.041833;1.84175;1.227666;1.35125;1.357916
Contr-pol-noncompl-exc-74;hist-100-20-5;false;391;0.787208;0.644042;0.660584;0.60725;0.5515;0.666583;0.627292;0.567333;0.556042;0.569167
Contr-pol-noncompl-exc-74;hist-100-20-9;false;374;0.574542;0.507625;0.438833;0.439083;0.573167;0.472833;0.414333;0.411417;1.495708;0.821542
Contr-pol-noncompl-exc-74;hist-100-20-2;false;303;1.189625;1.047625;1.074875;0.947917;1.471208;0.898833;0.927916;0.894875;0.91975;0.980458
Contr-pol-noncompl-exc-74;hist-100-20-10;false;374;0.645292;0.425125;0.421416;0.392625;0.449375;0.413833;0.4535;0.409916;0.428375;0.399333
Contr-pol-noncompl-exc-74;hist-100-20-3;false;398;0.643542;0.536375;0.534334;0.570667;0.653666;0.564667;0.561833;0.543417;0.547209;0.518125
Contr-pol-noncompl-exc-74;hist-100-20-1;false;406;0.598083;0.476083;0.517167;0.494208;0.501584;0.525833;0.49775;0.518166;0.543209;0.544917
Contr-pol-noncompl-exc-74;hist-100-20-6;false;346;0.892208;0.893917;0.757083;0.722166;0.739041;2.145875;0.7615;0.686916;0.698375;0.7195
Contr-pol-noncompl-exc-74;hist-100-20-7;false;392;0.66525;0.52975;0.559125;0.549;0.523833;0.549291;0.574917;0.534875;0.513375;0.487667
Contr-pol-noncompl-exc-23;hist-100-20-8;false;371;1.228417;0.861708;0.836958;0.791292;0.652334;0.696834;0.711875;0.718125;0.64975;0.665875
Contr-pol-noncompl-exc-23;hist-100-20-4;false;382;0.516959;0.452792;0.384208;0.37125;0.402916;0.385625;0.377084;0.400209;0.391209;0.3885
Contr-pol-noncompl-exc-23;hist-100-20-5;false;369;0.461667;0.308958;0.292209;0.298917;0.287333;0.3195;0.36375;0.35175;0.321833;0.322417
Contr-pol-noncompl-exc-23;hist-100-20-9;false;380;0.831792;0.682709;0.66575;0.680958;0.694792;0.62875;0.643625;0.628541;0.641083;0.666042
Contr-pol-noncompl-exc-23;hist-100-20-2;false;369;0.477792;0.292875;0.283208;0.2825;0.295833;0.332208;0.310042;0.307083;0.3225;0.323083
Contr-pol-noncompl-exc-23;hist-100-20-10;false;389;0.597291;0.500542;0.511458;0.539125;0.490666;0.476041;0.518917;0.512916;0.519541;0.51125
Contr-pol-noncompl-exc-23;hist-100-20-3;false;380;0.509666;0.368375;0.346959;0.398667;0.364167;0.359667;0.362416;0.387875;0.338;0.326
Contr-pol-noncompl-exc-23;hist-100-20-1;false;352;0.7085;0.603542;0.586833;0.56275;0.537916;0.595;0.568166;0.573541;0.6265;0.586709
Contr-pol-noncompl-exc-23;hist-100-20-6;false;311;0.829958;0.681375;0.6995;0.738292;0.674458;0.678375;0.664583;3.575958;0.658333;0.55775
Contr-pol-noncompl-exc-23;hist-100-20-7;false;383;0.330083;0.348583;0.349708;0.309209;0.30475;0.314958;0.314125;0.303542;0.303708;0.3065
Contr-pol-noncompl-exc-35;hist-100-20-8;false;364;1.178416;0.5785;0.549375;0.550917;0.593583;0.589083;0.637708;0.58475;0.583417;0.559417
Contr-pol-noncompl-exc-35;hist-100-20-4;false;378;0.648667;0.521417;0.500208;0.802875;0.628208;0.687375;0.56225;0.491708;0.475083;0.521042
Contr-pol-noncompl-exc-35;hist-100-20-5;false;404;0.567625;0.413208;0.427958;0.459833;0.4325;0.398209;0.415833;0.425042;0.391;0.381417
Contr-pol-noncompl-exc-35;hist-100-20-9;false;371;0.431084;0.285125;0.282542;0.288167;0.274084;0.298834;0.274041;0.270666;0.273042;0.290875
Contr-pol-noncompl-exc-35;hist-100-20-2;false;325;0.8165;0.728375;0.719458;0.654;0.70675;0.774167;0.680541;0.581209;0.589666;0.628042
Contr-pol-noncompl-exc-35;hist-100-20-10;false;388;0.472541;0.352541;0.356291;0.406917;0.360666;0.393208;0.390917;0.401792;0.388166;0.356958
Contr-pol-noncompl-exc-35;hist-100-20-3;false;373;0.374041;0.250959;0.265792;0.253583;0.260375;0.251875;0.264792;0.260334;0.252459;0.251208
Contr-pol-noncompl-exc-35;hist-100-20-1;false;330;0.704375;0.560917;0.536375;0.58825;0.629625;0.668875;0.58425;0.59025;0.58425;0.672792
Contr-pol-noncompl-exc-35;hist-100-20-6;false;327;0.6505;0.5305;0.541666;0.503542;0.565875;0.509958;0.529125;0.532375;0.565292;0.552042
Contr-pol-noncompl-exc-35;hist-100-20-7;false;302;0.71275;0.643208;0.609792;0.623958;0.670583;0.617917;0.652708;0.589709;0.611541;0.616833
Contr-pol-noncompl-exc-62;hist-100-20-8;false;368;0.555792;0.3195;0.266875;0.26025;0.240291;0.2595;0.250666;0.240792;0.242458;0.234209
Contr-pol-noncompl-exc-62;hist-100-20-4;false;385;0.614625;0.56325;0.456375;0.550458;0.503708;0.562125;0.513667;0.512833;0.564;0.500959
Contr-pol-noncompl-exc-62;hist-100-20-5;false;388;0.392708;0.286709;0.304;0.325542;0.305375;0.301625;0.312625;0.327541;0.323333;0.32375
Contr-pol-noncompl-exc-62;hist-100-20-9;false;369;0.484917;0.464625;0.37275;0.350458;0.348042;0.340125;0.347459;0.361417;0.373417;0.389041
Contr-pol-noncompl-exc-62;hist-100-20-2;false;370;0.333375;0.282833;0.247834;0.248708;0.265625;0.264958;0.254208;0.246;0.244167;0.564375
Contr-pol-noncompl-exc-62;hist-100-20-10;false;385;0.624375;0.424792;0.407;0.443625;0.4675;0.406208;0.361667;0.3635;0.383625;0.359417
Contr-pol-noncompl-exc-62;hist-100-20-3;false;266;0.761542;0.617834;0.600125;0.70025;0.650042;0.5645;0.567958;0.639459;0.562041;0.667291
Contr-pol-noncompl-exc-62;hist-100-20-1;false;370;0.308;0.193417;0.165416;0.164583;0.169917;0.176458;0.163375;0.16;0.16475;0.211125
Contr-pol-noncompl-exc-62;hist-100-20-6;false;293;5.049833;0.544958;0.443875;0.424416;0.42125;0.463292;0.444875;0.401375;0.404042;0.397417
Contr-pol-noncompl-exc-62;hist-100-20-7;false;386;0.337084;0.350917;0.309708;0.292459;0.30775;0.289958;0.293125;0.295708;0.3075;0.294333
Contr-pol-noncompl-exc-58;hist-100-20-8;false;385;0.576;0.237208;0.196417;0.230625;0.187583;0.2145;0.192834;0.182333;0.190375;0.192667
Contr-pol-noncompl-exc-58;hist-100-20-4;false;388;0.259833;0.216083;0.209084;0.192583;0.393333;0.291959;0.2095;0.195458;0.191625;0.196709
Contr-pol-noncompl-exc-58;hist-100-20-5;false;368;0.26275;0.152708;0.150292;0.147;0.159;0.144875;0.14725;0.147125;0.144291;0.142041
Contr-pol-noncompl-exc-58;hist-100-20-9;false;384;0.588833;0.401;0.328;0.296208;0.30025;0.301125;0.290375;0.28575;0.359292;0.301625
Contr-pol-noncompl-exc-58;hist-100-20-2;false;410;0.374625;0.264916;0.2475;0.244417;0.249917;0.261917;0.264958;0.255667;0.247125;0.259125
Contr-pol-noncompl-exc-58;hist-100-20-10;false;369;0.433875;0.326916;0.359792;0.431625;0.341625;0.329125;0.319416;0.328625;0.330791;0.309041
Contr-pol-noncompl-exc-58;hist-100-20-3;false;356;0.414542;0.329958;0.3305;0.31475;0.321791;0.323875;0.331542;0.32125;0.340208;0.318167
Contr-pol-noncompl-exc-58;hist-100-20-1;false;404;0.2965;0.235;0.222416;0.222333;0.2265;0.2275;0.228;0.224833;0.220834;0.223042
Contr-pol-noncompl-exc-58;hist-100-20-6;false;390;0.301166;0.224542;0.21975;0.215583;0.228167;0.215791;0.216833;0.241875;0.231334;0.220125
Contr-pol-noncompl-exc-58;hist-100-20-7;false;269;0.567792;0.461542;0.817833;0.730542;0.466625;0.450709;0.439708;0.431459;0.425917;0.419958
Contr-pol-noncompl-exc-97;hist-100-20-8;false;372;0.6335;0.263;0.367458;0.249;0.250416;0.232833;0.215875;0.211125;0.56325;0.387417
Contr-pol-noncompl-exc-97;hist-100-20-4;false;367;0.636792;0.584458;0.34775;0.359542;0.338;0.33725;0.333625;0.338834;0.342458;0.329209
Contr-pol-noncompl-exc-97;hist-100-20-5;false;389;0.25475;0.17575;0.175708;0.190875;0.186042;0.178917;0.173875;0.171167;0.170958;0.176708
Contr-pol-noncompl-exc-97;hist-100-20-9;false;374;0.319541;0.220542;0.216333;0.212958;0.224375;0.216458;0.225083;0.221875;0.21875;0.226
Contr-pol-noncompl-exc-97;hist-100-20-2;false;309;0.478667;0.397292;0.381667;0.39325;0.403459;0.423;0.4085;0.410209;0.3915;0.42525
Contr-pol-noncompl-exc-97;hist-100-20-10;false;385;0.322167;0.199292;0.1915;0.189083;0.193292;0.191375;0.18625;0.186208;0.196625;6.114709
Contr-pol-noncompl-exc-97;hist-100-20-3;false;367;0.232667;0.137292;0.129208;0.127875;0.130792;0.12725;0.130709;0.130875;0.124916;0.12575
Contr-pol-noncompl-exc-97;hist-100-20-1;false;411;0.236542;0.217958;0.224916;0.219542;0.220584;0.218125;0.210541;0.215375;0.208333;0.225709
Contr-pol-noncompl-exc-97;hist-100-20-6;false;376;0.184041;0.152084;0.151292;0.1445;0.159542;0.144375;0.142833;0.153583;0.145334;0.143292
Contr-pol-noncompl-exc-97;hist-100-20-7;false;388;0.256333;0.23825;0.254791;0.240667;0.23225;0.237875;0.243334;0.238208;0.247792;0.23225
Contr-pol-noncompl-exc-78;hist-100-20-8;false;367;0.530125;0.373875;0.333291;0.269084;0.258792;0.260875;0.251834;0.253417;0.701208;0.282292
Contr-pol-noncompl-exc-78;hist-100-20-4;false;377;0.365;0.267667;0.27325;0.274333;0.269333;0.265208;0.270625;0.273625;0.273208;0.279209
Contr-pol-noncompl-exc-78;hist-100-20-5;false;375;0.244;0.15;0.149792;0.146875;0.150125;0.148709;0.148417;0.150917;0.148709;0.161834
Contr-pol-noncompl-exc-78;hist-100-20-9;false;384;0.248333;0.18125;0.168167;0.166208;0.165667;0.161583;0.1725;0.166959;0.162042;0.191958
Contr-pol-noncompl-exc-78;hist-100-20-2;false;387;0.2705;0.185584;0.175292;0.174291;0.197542;0.170333;0.185542;0.168334;0.165875;0.167459
Contr-pol-noncompl-exc-78;hist-100-20-10;false;367;0.347041;0.26975;0.273;0.271292;0.289125;0.27225;0.275167;0.27275;0.278458;0.284375
Contr-pol-noncompl-exc-78;hist-100-20-3;false;336;0.469667;0.3615;0.364708;0.373375;0.363333;0.36825;0.357208;0.361125;0.38;0.374917
Contr-pol-noncompl-exc-78;hist-100-20-1;false;350;0.389667;0.3;0.294083;0.298416;0.335416;0.341292;0.338625;0.329667;0.344208;0.341042
Contr-pol-noncompl-exc-78;hist-100-20-6;false;389;0.29725;0.211625;0.214958;0.208083;0.210583;0.215959;0.227416;0.214666;0.210792;0.209792
Contr-pol-noncompl-exc-78;hist-100-20-7;false;377;0.2555;0.187459;0.205042;0.210375;0.180834;0.174833;0.177416;0.188958;0.173;0.180292
Contr-pol-noncompl-exc-39;hist-100-20-8;false;383;0.386959;0.192959;0.164167;0.157458;0.161208;0.163834;0.158167;0.158959;0.159459;0.16075
Contr-pol-noncompl-exc-39;hist-100-20-4;false;349;0.462333;0.37575;0.370125;0.366458;0.362333;0.36525;0.408292;0.374916;0.353291;0.359292
Contr-pol-noncompl-exc-39;hist-100-20-5;false;378;0.279458;0.157291;0.156333;0.151;0.146917;0.146916;0.151;0.148083;0.145542;0.152417
Contr-pol-noncompl-exc-39;hist-100-20-9;false;373;0.396333;0.285834;0.291542;0.278;0.295959;0.29425;0.283625;0.279;0.290167;0.290292
Contr-pol-noncompl-exc-39;hist-100-20-2;false;406;0.3075;0.209625;0.213875;0.202625;0.204083;0.203584;0.208958;0.198417;0.214791;0.23175
Contr-pol-noncompl-exc-39;hist-100-20-10;false;395;0.315833;0.208916;0.205291;0.196208;0.194375;0.19825;0.21425;0.194875;0.193375;0.196625
Contr-pol-noncompl-exc-39;hist-100-20-3;false;354;0.395292;0.313208;0.324209;0.341958;0.331792;7.221;0.642333;0.443584;0.416;0.422709
Contr-pol-noncompl-exc-39;hist-100-20-1;false;375;0.171375;0.166917;0.152917;0.146916;0.213542;0.155458;0.149792;0.148166;0.14725;0.143708
Contr-pol-noncompl-exc-39;hist-100-20-6;false;395;0.291042;0.248208;0.262875;0.246458;0.2645;0.269458;0.272083;0.271209;0.264625;0.263416
Contr-pol-noncompl-exc-39;hist-100-20-7;false;318;0.436542;0.4615;0.440917;0.414917;0.40425;0.436041;0.394459;0.395416;0.403;0.409584
Contr-pol-noncompl-exc-81;hist-100-20-8;false;373;0.619417;0.288;0.271666;0.269542;0.282625;0.269083;0.250208;0.698208;0.283334;0.272334
Contr-pol-noncompl-exc-81;hist-100-20-4;false;380;0.462875;0.408125;0.393458;0.371542;0.354625;0.344125;0.359709;0.367583;0.340042;0.344125
Contr-pol-noncompl-exc-81;hist-100-20-5;false;393;0.494958;0.3635;0.364792;0.332;0.324834;0.346041;0.65075;0.442959;0.53425;0.367375
Contr-pol-noncompl-exc-81;hist-100-20-9;false;367;0.299167;0.230709;0.220666;0.212416;0.212167;0.217709;0.240125;0.230083;0.25675;0.237208
Contr-pol-noncompl-exc-81;hist-100-20-2;false;401;0.339459;0.223875;0.208417;0.2255;0.206209;0.213125;0.251208;0.223708;0.223459;0.220333
Contr-pol-noncompl-exc-81;hist-100-20-10;false;369;0.404458;0.336917;0.333667;0.362167;0.313333;0.33725;0.354833;0.309166;0.297208;0.297083
Contr-pol-noncompl-exc-81;hist-100-20-3;false;358;0.459625;0.312375;0.299459;0.284;0.280833;0.302292;0.305875;0.323834;0.304084;0.299708
Contr-pol-noncompl-exc-81;hist-100-20-1;false;381;0.233791;0.150583;0.16575;0.154583;0.162583;0.146625;0.147291;0.146417;0.146125;0.145958
Contr-pol-noncompl-exc-81;hist-100-20-6;false;295;0.489875;0.3445;0.340791;0.346625;0.351875;0.35075;0.364709;0.362084;0.371208;0.354
Contr-pol-noncompl-exc-81;hist-100-20-7;false;273;0.483625;0.427042;0.412792;0.415584;0.418083;0.404041;0.406917;0.410208;0.402;0.402958
Contr-pol-noncompl-exc-42;hist-100-20-8;false;370;0.612917;0.291041;0.262917;0.24425;0.2455;0.239708;0.24825;0.248458;0.240958;0.252417
Contr-pol-noncompl-exc-42;hist-100-20-4;false;385;0.251625;0.177875;0.176792;0.17975;0.18;0.176;0.181167;0.179333;0.213583;0.175958
Contr-pol-noncompl-exc-42;hist-100-20-5;false;383;0.2545;0.160375;0.155125;0.160875;0.150792;0.154333;0.1505;0.147875;0.150875;0.156709
Contr-pol-noncompl-exc-42;hist-100-20-9;false;374;0.350625;0.269792;0.315333;0.286208;0.281084;0.274959;0.26875;0.27475;0.271375;0.312
Contr-pol-noncompl-exc-42;hist-100-20-2;false;406;0.343291;0.235834;0.2285;0.228;0.230916;0.232667;0.241167;0.230417;0.225792;0.236541
Contr-pol-noncompl-exc-42;hist-100-20-10;false;385;0.248625;0.165042;0.16275;0.178791;0.164791;0.170041;0.163042;0.163958;0.169583;0.174834
Contr-pol-noncompl-exc-42;hist-100-20-3;false;387;0.258834;0.17275;0.182334;0.174334;0.186958;0.157875;0.158084;0.156791;0.158417;0.171958
Contr-pol-noncompl-exc-42;hist-100-20-1;false;401;0.328917;0.234875;0.236;0.240834;0.242792;0.253;0.235375;0.244334;0.230417;0.234167
Contr-pol-noncompl-exc-42;hist-100-20-6;false;288;0.456;0.351791;0.353;0.353334;0.363542;0.3425;0.355291;0.346084;0.346709;0.350334
Contr-pol-noncompl-exc-42;hist-100-20-7;false;383;0.258875;0.173333;0.189208;0.179584;0.177125;0.176083;0.177417;0.170958;0.185916;0.182
Contr-pol-noncompl-exc-54;hist-100-20-8;false;375;0.473417;0.338084;0.281833;0.264292;0.251584;0.256584;0.297125;0.323375;0.268541;0.255292
Contr-pol-noncompl-exc-54;hist-100-20-4;false;377;0.294709;0.285959;0.314583;0.337334;0.281792;0.297292;0.270042;0.295625;0.313375;0.287167
Contr-pol-noncompl-exc-54;hist-100-20-5;false;390;0.191;0.181167;0.175667;0.23075;0.261334;0.167958;0.163416;0.184916;0.183041;0.1715
Contr-pol-noncompl-exc-54;hist-100-20-9;false;379;0.313333;0.794083;0.2985;0.294;0.308666;0.2845;0.302208;0.299833;0.308;0.316875
Contr-pol-noncompl-exc-54;hist-100-20-2;false;401;0.254375;0.290583;0.22725;0.227042;0.218458;0.226125;0.222875;0.200291;0.217625;0.203791
Contr-pol-noncompl-exc-54;hist-100-20-10;false;387;0.19875;0.160833;0.160583;0.163334;0.16075;0.155541;0.152667;0.1585;0.156958;0.155625
Contr-pol-noncompl-exc-54;hist-100-20-3;false;399;0.291292;0.256209;0.619;0.216167;0.209667;0.210333;0.20475;0.20575;0.205875;0.260375
Contr-pol-noncompl-exc-54;hist-100-20-1;false;380;0.239166;0.154542;0.146875;0.152125;0.150625;0.167958;0.168708;0.162708;0.169;0.14575
Contr-pol-noncompl-exc-54;hist-100-20-6;false;265;0.463166;0.397208;0.482875;0.420291;0.390541;0.389958;0.392458;0.400125;0.401458;0.458875
Contr-pol-noncompl-exc-54;hist-100-20-7;false;395;0.330084;0.205083;0.195834;0.195;0.217666;0.201125;0.202708;0.228375;0.254042;0.241625
Contr-pol-noncompl-exc-55;hist-100-20-8;false;369;0.342375;0.149;0.133916;0.143167;0.133542;0.134125;0.136;0.127417;0.126709;0.138708
Contr-pol-noncompl-exc-55;hist-100-20-4;false;387;0.261292;0.165459;0.165375;0.16825;0.162292;0.165084;0.204792;0.171375;0.165334;0.161042
Contr-pol-noncompl-exc-55;hist-100-20-5;false;408;0.361542;0.238;0.231541;0.220792;0.228292;0.234125;0.244416;0.259292;0.242667;0.252958
Contr-pol-noncompl-exc-55;hist-100-20-9;false;382;0.347875;0.272041;0.255666;0.265167;0.26125;0.340542;0.278959;0.264416;0.263416;0.262417
Contr-pol-noncompl-exc-55;hist-100-20-2;false;399;0.291791;0.198625;0.197667;0.195;0.192833;0.205125;0.197166;0.1945;0.199083;0.195166
Contr-pol-noncompl-exc-55;hist-100-20-10;false;390;0.292417;0.208417;0.206583;0.271583;0.214125;0.209333;0.205542;0.207042;0.207708;0.213042
Contr-pol-noncompl-exc-55;hist-100-20-3;false;384;0.327667;0.217625;0.1965;0.198791;0.197792;0.202;0.205625;0.201792;0.204083;0.210416
Contr-pol-noncompl-exc-55;hist-100-20-1;false;327;0.519292;0.426625;0.375833;0.380708;0.365875;0.441625;0.383166;0.387291;0.383333;0.38125
Contr-pol-noncompl-exc-55;hist-100-20-6;false;381;0.279584;0.187208;0.184792;0.176416;0.172833;0.170292;0.212583;0.186583;0.174167;0.20725
Contr-pol-noncompl-exc-55;hist-100-20-7;false;390;0.279208;0.203125;0.192542;0.1905;0.197167;0.187708;0.192125;0.189417;0.192584;0.20025
Contr-pol-noncompl-exc-43;hist-100-20-8;false;329;0.540208;0.371625;0.377833;0.350333;0.3595;0.351833;0.36925;0.368084;0.405042;0.375917
Contr-pol-noncompl-exc-43;hist-100-20-4;false;393;0.392958;0.303167;0.256166;0.258708;0.252584;0.265792;0.249334;0.254542;0.250959;0.252584
Contr-pol-noncompl-exc-43;hist-100-20-5;false;392;0.414542;0.310084;0.316792;0.314042;0.311625;0.301917;0.290833;0.301708;0.332708;0.30225
Contr-pol-noncompl-exc-43;hist-100-20-9;false;377;0.314208;0.229833;0.22975;0.238875;0.257541;0.229542;0.227709;0.236042;0.231166;0.227833
Contr-pol-noncompl-exc-43;hist-100-20-2;false;402;0.252916;0.195708;0.193041;0.194333;0.182125;0.187083;0.201458;0.1865;0.226958;0.195292
Contr-pol-noncompl-exc-43;hist-100-20-10;false;389;0.263208;0.204083;0.195833;0.201791;0.220416;0.201416;5.509125;0.37375;0.215333;0.246
Contr-pol-noncompl-exc-43;hist-100-20-3;false;349;0.387625;0.315625;0.295792;0.324042;0.291958;0.278667;0.292042;0.283458;0.303625;0.298291
Contr-pol-noncompl-exc-43;hist-100-20-1;false;393;0.206666;0.171375;0.167167;0.164833;0.170666;0.164958;0.161625;0.165792;0.160666;0.1645
Contr-pol-noncompl-exc-43;hist-100-20-6;false;374;0.274083;0.249959;0.240833;0.248791;0.244042;0.239875;0.2465;0.238625;0.284083;0.246334
Contr-pol-noncompl-exc-43;hist-100-20-7;false;381;0.1705;0.144459;0.152458;0.145667;0.156709;0.151125;0.151459;0.161667;0.163125;0.151916
Contr-pol-non-compl-noexc-disj;hist-100-20-8;false;43;0.36425;0.093125;0.07;0.067541;0.06575;0.061125;0.063417;0.066833;0.065209;0.061959
Contr-pol-non-compl-noexc-disj;hist-100-20-4;false;43;0.128583;0.063167;0.062167;0.061916;0.066959;0.063791;0.066292;0.063333;0.061875;0.071375
Contr-pol-non-compl-noexc-disj;hist-100-20-5;false;43;0.127833;0.064083;0.072333;0.066583;0.066625;0.066542;0.274042;0.080541;0.08975;0.068125
Contr-pol-non-compl-noexc-disj;hist-100-20-9;false;43;0.125833;0.067333;0.066666;0.065125;0.064792;0.069666;0.067167;0.066833;0.064917;0.068
Contr-pol-non-compl-noexc-disj;hist-100-20-2;false;43;0.121916;0.092709;0.067167;0.087916;0.074;0.065458;0.06625;0.065625;0.140167;0.081125
Contr-pol-non-compl-noexc-disj;hist-100-20-10;false;43;0.106875;0.047875;0.053167;0.043709;0.046208;0.04625;0.044083;0.044875;0.042917;0.044
Contr-pol-non-compl-noexc-disj;hist-100-20-3;false;43;0.104083;0.044458;0.044042;0.044;0.043916;0.045125;0.056958;0.046208;0.044334;0.04325
Contr-pol-non-compl-noexc-disj;hist-100-20-1;false;43;0.105917;0.044542;0.047583;0.045125;0.043125;0.044417;0.044166;0.044125;0.04475;0.0445
Contr-pol-non-compl-noexc-disj;hist-100-20-6;false;43;0.098958;0.048041;0.044958;0.044125;0.045625;0.044333;0.045292;0.041875;0.04475;0.044167
Contr-pol-non-compl-noexc-disj;hist-100-20-7;false;43;0.096834;0.045334;0.044292;0.07475;0.044917;0.043541;0.0425;0.0425;0.040375;0.040292
Contr-pol-noncompl-exc-80;hist-100-20-8;false;373;0.690375;0.325;0.301834;0.303125;0.305459;0.30275;0.293958;0.331541;0.299583;0.289292
Contr-pol-noncompl-exc-80;hist-100-20-4;false;384;0.37375;0.32525;0.318042;0.281542;0.870167;0.407083;0.302667;0.277209;0.265667;0.258333
Contr-pol-noncompl-exc-80;hist-100-20-5;false;401;0.328958;0.219875;0.2295;0.235708;0.225333;0.225917;0.235166;0.235458;0.318083;0.484167
Contr-pol-noncompl-exc-80;hist-100-20-9;false;360;0.824667;0.254666;0.312;0.338708;0.25325;0.214709;0.206;0.205334;0.203;0.207375
Contr-pol-noncompl-exc-80;hist-100-20-2;false;380;0.255958;0.168833;0.17;0.6385;0.565625;0.23925;0.171375;0.16125;0.168167;0.158333
Contr-pol-noncompl-exc-80;hist-100-20-10;false;318;0.451333;0.350166;0.348708;0.36375;0.35275;0.427958;0.345333;0.358875;0.355917;0.349958
Contr-pol-noncompl-exc-80;hist-100-20-3;false;353;0.408584;0.302834;0.296208;0.310084;0.303833;0.29775;0.399875;0.443292;0.807541;0.377042
Contr-pol-noncompl-exc-80;hist-100-20-1;false;396;0.297042;0.210375;0.202;0.206458;0.204792;0.213416;0.228542;0.220333;0.196625;0.269833
Contr-pol-noncompl-exc-80;hist-100-20-6;false;312;0.949958;0.596042;0.36725;0.347708;0.360084;0.349875;0.337541;0.322834;0.31425;0.398708
Contr-pol-noncompl-exc-80;hist-100-20-7;false;389;1.08775;0.299625;0.262792;0.24375;0.241042;0.245667;0.230708;0.252875;0.235208;0.306916
Contr-pol-noncompl-exc-38;hist-100-20-8;false;365;0.53675;0.324917;0.266958;0.264875;0.260667;0.257375;0.247834;0.245959;0.239333;0.238334
Contr-pol-noncompl-exc-38;hist-100-20-4;false;381;0.707958;0.347917;0.296958;0.297042;0.291583;0.285375;0.318792;0.284375;0.299459;0.289416
Contr-pol-noncompl-exc-38;hist-100-20-5;false;377;0.263;0.15375;0.156708;0.186417;0.212459;0.176;0.170792;0.178458;0.1785;0.217666
Contr-pol-noncompl-exc-38;hist-100-20-9;false;385;0.361333;0.286;0.268417;0.265791;0.273833;0.267667;0.270417;0.284875;0.2695;0.455
Contr-pol-noncompl-exc-38;hist-100-20-2;false;324;0.783625;0.441084;0.3955;0.405083;0.394542;0.360917;0.386667;0.427542;0.461958;0.778709
Contr-pol-noncompl-exc-38;hist-100-20-10;false;377;0.290583;0.164917;0.16075;0.162625;6.678083;0.306166;0.166541;0.180833;0.153958;0.163625
Contr-pol-noncompl-exc-38;hist-100-20-3;false;332;0.3825;0.349042;0.339666;0.338459;0.361084;0.347416;0.348375;0.334542;0.353625;0.349208
Contr-pol-noncompl-exc-38;hist-100-20-1;false;368;0.158958;0.153875;0.129792;0.128833;0.134583;0.129792;0.176792;0.143208;0.130292;0.127042
Contr-pol-noncompl-exc-38;hist-100-20-6;false;401;0.226292;0.202417;0.2105;0.209208;0.208834;0.204958;0.207916;0.210459;0.202625;0.214042
Contr-pol-noncompl-exc-38;hist-100-20-7;false;387;0.243459;0.206291;0.19575;0.193542;0.194417;0.1935;0.201792;0.193042;0.192083;0.210875
Contr-pol-noncompl-exc-96;hist-100-20-8;false;376;0.515042;0.230666;0.212917;0.2135;0.203458;0.203584;0.200667;0.192167;0.195083;0.189125
Contr-pol-noncompl-exc-96;hist-100-20-4;false;388;0.277;0.196166;0.192334;0.193;0.185542;0.189833;0.19075;0.188333;0.210792;0.190792
Contr-pol-noncompl-exc-96;hist-100-20-5;false;411;0.294167;0.229291;0.226708;0.38275;0.244166;0.2295;0.232;0.240375;0.259583;0.247791
Contr-pol-noncompl-exc-96;hist-100-20-9;false;374;0.314541;0.245375;0.227625;0.21975;0.227167;0.224584;0.228125;0.238708;0.229167;0.226
Contr-pol-noncompl-exc-96;hist-100-20-2;false;402;0.352834;0.293542;0.304667;0.273166;0.279417;0.275875;0.271792;0.274125;0.288167;0.304167
Contr-pol-noncompl-exc-96;hist-100-20-10;false;291;0.471375;0.423666;0.4115;0.410417;0.890584;0.643916;0.419292;0.39725;0.40075;0.386584
Contr-pol-noncompl-exc-96;hist-100-20-3;false;370;0.252833;0.172;0.147583;0.145667;0.144167;0.148;0.143375;0.1575;0.143708;0.143
Contr-pol-noncompl-exc-96;hist-100-20-1;false;401;0.275708;0.200875;0.198084;0.201958;0.214459;0.205125;0.214834;0.204292;0.226709;0.202416
Contr-pol-noncompl-exc-96;hist-100-20-6;false;399;0.346291;0.255792;0.269417;0.256375;0.236292;0.637292;0.534417;0.296334;0.250375;0.271791
Contr-pol-noncompl-exc-96;hist-100-20-7;false;316;0.900625;0.506875;0.630875;0.867375;0.424709;0.352542;0.339792;0.332334;0.338084;0.333458
Contr-pol-noncompl-exc-79;hist-100-20-8;false;378;0.504541;0.241334;0.2215;0.2325;0.297;0.297;0.243167;0.236291;0.233209;0.23325
Contr-pol-noncompl-exc-79;hist-100-20-4;false;391;0.353625;0.212542;0.224542;0.216833;0.213292;0.202042;0.194;0.212833;0.193333;0.260333
Contr-pol-noncompl-exc-79;hist-100-20-5;false;398;0.432209;0.421125;0.697;0.376958;0.4795;0.333625;0.766;0.692583;0.455708;0.362959
Contr-pol-noncompl-exc-79;hist-100-20-9;false;377;0.458208;0.261583;0.261125;0.243916;0.259333;0.249458;0.240458;0.258167;0.243166;0.239666
